"SiteID","Longitude","Latitude","GPP"
"icr005934",-6.92976,36.0986,2.63559319444444
"icr005940",-6.92729,36.0947,2.63559319444444
"icr005949",-6.90578,36.0879,2.51888196527778
"icr005950",-6.91138,36.0889,2.51888196527778
"icr005952",-6.91001,36.0909,2.51888196527778
"icr005955",-6.91318,36.0925,2.51888196527778
"icr005958",-6.90897,36.0845,2.51888196527778
"icr005962",-6.90951,36.0899,2.51888196527778
"icr005964",-6.91324,36.0914,2.51888196527778
"icr005971",-6.88722,36.0903,2.51888196527778
"icr005972",-6.88722,36.0903,2.51888196527778
"icr005973",-6.87997,36.0957,2.51888196527778
"icr005974",-6.87997,36.0957,2.51888196527778
"icr005975",-6.88609,36.0976,2.51888196527778
"icr005977",-6.88888,36.0951,2.51888196527778
"icr005980",-6.88463,36.0953,2.51888196527778
"icr005981",-6.88493,36.0892,2.51888196527778
"icr005987",-6.86272,36.0943,2.51888196527778
"icr005988",-6.86873,36.0972,2.51888196527778
"icr005989",-6.86867,36.0958,2.51888196527778
"icr005990",-6.86532,36.1,2.51888196527778
"icr005991",-6.86532,36.1,2.51888196527778
"icr005994",-6.86576,36.101,2.51888196527778
"icr005995",-6.86663,36.1005,2.51888196527778
"icr005997",-6.86088,36.1005,2.51888196527778
"icr005999",-6.93858,36.1244,2.63559319444444
"icr006000",-6.93443,36.1252,2.63559319444444
"icr006004",-6.93504,36.1237,2.63559319444444
"icr006010",-6.93586,36.1246,2.63559319444444
"icr006014",-6.93647,36.1206,2.63559319444444
"icr006021",-6.91458,36.123,2.51888196527778
"icr006024",-6.91431,36.1196,2.51888196527778
"icr006026",-6.91591,36.1194,2.51888196527778
"icr006027",-6.91071,36.1208,2.51888196527778
"icr006034",-6.91441,36.1249,2.51888196527778
"icr006041",-6.88918,36.1166,2.51888196527778
"icr006044",-6.8936,36.1182,2.51888196527778
"icr006058",-6.86254,36.1205,2.51888196527778
"icr006061",-6.86451,36.1219,2.51888196527778
"icr006063",-6.85994,36.1191,2.51888196527778
"icr006064",-6.86554,36.1171,2.51888196527778
"icr006073",-6.92727,36.1416,2.63559319444444
"icr006079",-6.9298,36.1371,2.63559319444444
"icr006081",-6.9288,36.1416,2.63559319444444
"icr006082",-6.9288,36.1416,2.63559319444444
"icr006084",-6.90925,36.1369,2.51888196527778
"icr006096",-6.90992,36.1391,2.51888196527778
"icr006099",-6.90426,36.14,2.51888196527778
"icr006110",-6.89232,36.1377,2.51888196527778
"icr006114",-6.89039,36.1331,2.51888196527778
"icr006115",-6.89424,36.1339,2.51888196527778
"icr006116",-6.89424,36.1339,2.51888196527778
"icr006117",-6.89404,36.1367,2.51888196527778
"icr006118",-6.89404,36.1367,2.51888196527778
"icr006127",-6.86459,36.1378,2.51888196527778
"icr006130",-6.85879,36.1428,2.51888196527778
"icr006131",-6.85879,36.1428,2.51888196527778
"icr006133",-6.86058,36.1368,2.51888196527778
"icr006139",-6.93411,36.1631,2.63559319444444
"icr006145",-6.93354,36.1636,2.63559319444444
"icr006162",-6.90902,36.1622,2.51888196527778
"icr006166",-6.88897,36.1673,2.90538036111111
"icr006170",-6.88958,36.1674,2.90538036111111
"icr006172",-6.88228,36.1642,2.51888196527778
"icr006174",-6.88359,36.1633,2.51888196527778
"icr006175",-6.88223,36.1614,2.51888196527778
"icr006176",-6.88375,36.1644,2.51888196527778
"icr006185",-6.87052,36.16,2.51888196527778
"icr006192",-6.87246,36.1577,2.51888196527778
"icr006454",-6.12601,36.4402,1.81551565277778
"icr006455",-6.12601,36.4402,1.81551565277778
"icr006474",-6.08875,36.436,1.81551565277778
"icr006475",-6.08875,36.436,1.81551565277778
"icr006492",-6.06394,36.4405,2.39560929861111
"icr006493",-6.06394,36.4405,2.39560929861111
"icr006510",-6.04693,36.4439,2.39560929861111
"icr006530",-6.11749,36.4577,1.81551565277778
"icr006531",-6.11749,36.4577,1.81551565277778
"icr006551",-6.0882,36.4633,1.81551565277778
"icr006570",-6.06997,36.4646,2.39560929861111
"icr006571",-6.06997,36.4646,2.39560929861111
"icr006586",-6.05575,36.4577,2.39560929861111
"icr006599",-6.04914,36.4567,2.39560929861111
"icr006626",-6.09622,36.4863,1.81551565277778
"icr006627",-6.09622,36.4863,1.81551565277778
"icr006684",-6.12214,36.5064,2.17797741666667
"icr006695",-6.12299,36.5099,2.17797741666667
"icr006704",-6.0906,36.5084,2.17797741666667
"icr006705",-6.0906,36.5084,2.17797741666667
"icr006725",-6.07987,36.5067,2.08390398611111
"icr006727",-6.07972,36.5017,2.08390398611111
"icr006744",-6.05373,36.5135,2.08390398611111
"icr006745",-6.05373,36.5135,2.08390398611111
"icr007791",-5.319,37.4506,3.11542861805556
"icr007851",-5.33593,37.4686,3.12504965277778
"icr007987",-5.35679,37.5099,3.53879150694444
"icr010019",-11.1061,35.1498,3.67014097222222
"icr010535",14.8258,-10.9938,1.20923738888889
