SSN,Site,Cluster,Plot,Depth,Longitude,Latitude
icr005971,Chinyanghuku,3,4,Topsoil,36.09030914,-6.887218
icr005972,Chinyanghuku,3,4,Subsoil,36.09030914,-6.887218
icr005990,Chinyanghuku,4,8,Topsoil,36.10004807,-6.86531687
icr005991,Chinyanghuku,4,8,Subsoil,36.10004807,-6.86531687
icr006115,Chinyanghuku,11,8,Topsoil,36.1339,-6.89424
icr006116,Chinyanghuku,11,8,Subsoil,36.1339,-6.89424
icr006130,Chinyanghuku,12,8,Topsoil,36.14284897,-6.85878706
icr006131,Chinyanghuku,12,8,Subsoil,36.14284897,-6.85878706
icr006454,Pandambili,1,1,Topsoil,36.44020081,-6.12600994
icr006455,Pandambili,1,1,Subsoil,36.44020081,-6.12600994
icr006492,Pandambili,3,1,Topsoil,36.4405,-6.06394
icr006493,Pandambili,3,1,Subsoil,36.4405,-6.06394
icr006530,Pandambili,5,1,Topsoil,36.4577,-6.11749
icr006531,Pandambili,5,1,Subsoil,36.4577,-6.11749
icr006570,Pandambili,7,2,Topsoil,36.46458817,-6.06997013
icr006571,Pandambili,7,2,Subsoil,36.46458817,-6.06997013
icr006744,Pandambili,16,1,Topsoil,36.5135,-6.05373
icr006745,Pandambili,16,1,Subsoil,36.5135,-6.05373
icr020848,Kidatu,1,1,Topsoil,37.26938248,-8.07403278
icr020849,Kidatu,1,1,Subsoil,37.26938248,-8.07403278
icr020888,Kidatu,3,1,Topsoil,37.27035141,-8.02105045
icr020889,Kidatu,3,1,Subsoil,37.27035141,-8.02105045
icr020908,Kidatu,4,1,Topsoil,37.27236938,-8.00080681
icr020909,Kidatu,4,1,Subsoil,37.27236938,-8.00080681
icr020970,Kidatu,7,3,Topsoil,37.29229736,-8.02381229
icr020971,Kidatu,7,3,Subsoil,37.29229736,-8.02381229
icr021063,Kidatu,12,1,Topsoil,37.31461716,-8.00514507
icr021064,Kidatu,12,1,Subsoil,37.31461716,-8.00514507
icr021103,Kidatu,14,1,Topsoil,37.33369827,-8.04930496
icr021104,Kidatu,14,1,Subsoil,37.33369827,-8.04930496
icr024956,Itende,6,1,Topsoil,34.19247818,-6.91006517
icr024957,Itende,6,1,Subsoil,34.19247818,-6.91006517
icr024976,Itende,7,2,Topsoil,34.19307327,-6.87918282
icr024977,Itende,7,2,Subsoil,34.19307327,-6.87918282
icr024994,Itende,8,3,Topsoil,34.19452667,-6.859828
icr024995,Itende,8,3,Subsoil,34.19452667,-6.859828
icr030051,Dambidolo,2,6,Topsoil,34.98833084,8.60195828
icr030052,Dambidolo,2,6,Subsoil,34.98833084,8.60195828
icr030097,Dambidolo,4,8,Topsoil,34.98268509,8.65556717
icr030098,Dambidolo,4,8,Subsoil,34.98268509,8.65556717
icr030113,Dambidolo,5,7,Topsoil,35.00011444,8.58142185
icr030114,Dambidolo,5,7,Subsoil,35.00011444,8.58142185
icr030123,Dambidolo,6,2,Topsoil,35.00059891,8.59928799
icr030124,Dambidolo,6,2,Subsoil,35.00059891,8.59928799
icr030127,Dambidolo,6,5,Topsoil,34.99979401,8.59832192
icr030128,Dambidolo,6,5,Subsoil,34.99979401,8.59832192
icr030131,Dambidolo,6,7,Topsoil,35.00479126,8.60511303
icr030132,Dambidolo,6,7,Subsoil,35.00479126,8.60511303
icr030133,Dambidolo,6,8,Topsoil,34.99936295,8.6012516
icr030134,Dambidolo,6,8,Subsoil,34.99936295,8.6012516
icr030137,Dambidolo,6,10,Topsoil,34.99982834,8.60101509
icr030138,Dambidolo,6,10,Subsoil,34.99982834,8.60101509
icr030145,Dambidolo,7,2,Topsoil,35.00531006,8.62525272
icr030146,Dambidolo,7,2,Subsoil,35.00531006,8.62525272
icr030176,Dambidolo,8,8,Topsoil,35.0014534,8.64603329
icr030177,Dambidolo,8,8,Subsoil,35.0014534,8.64603329
icr030190,Dambidolo,9,12,Topsoil,35.0256424,8.58047676
icr030191,Dambidolo,9,12,Subsoil,35.0256424,8.58047676
icr030206,Dambidolo,10,5,Topsoil,35.02694702,8.60710716
icr030207,Dambidolo,10,5,Subsoil,35.02694702,8.60710716
icr030214,Dambidolo,10,9,Topsoil,35.01977158,8.60314274
icr030215,Dambidolo,10,9,Subsoil,35.01977158,8.60314274
icr030268,Dambidolo,13,6,Topsoil,35.0459137,8.57730293
icr030269,Dambidolo,13,6,Subsoil,35.0459137,8.57730293
icr030270,Dambidolo,13,7,Topsoil,35.04312134,8.58223248
icr030271,Dambidolo,13,7,Subsoil,35.04312134,8.58223248
icr030282,Dambidolo,14,4,Topsoil,35.04640961,8.59956265
icr030283,Dambidolo,14,4,Subsoil,35.04640961,8.59956265
icr030300,Dambidolo,15,3,Topsoil,35.04849625,8.62188721
icr030301,Dambidolo,15,3,Subsoil,35.04849625,8.62188721
icr030323,Dambidolo,16,5,Topsoil,35.04421616,8.64572334
icr030324,Dambidolo,16,5,Subsoil,35.04421616,8.64572334
icr030330,Dambidolo,16,9,Topsoil,35.04863358,8.64678001
icr030331,Dambidolo,16,9,Subsoil,35.04863358,8.64678001
icr033419,Mbalambala,5,7,Topsoil,39.02086639,-0.155982
icr033420,Mbalambala,5,7,Subsoil,39.02086639,-0.155982
icr033535,Mbalambala,13,6,Topsoil,39.0616951,-0.15338799
icr033536,Mbalambala,13,6,Subsoil,39.0616951,-0.15338799
icr033592,Mbalambala,16,8,Topsoil,39.06327438,-0.089757
icr033593,Mbalambala,16,8,Subsoil,39.06327438,-0.089757
icr033598,Mbalambala,16,14,Topsoil,39.06158447,-0.086252
icr033599,Mbalambala,16,14,Subsoil,39.06158447,-0.086252
icr033634,Mega,2,14,Topsoil,38.2612915,4.17119789
icr033635,Mega,2,14,Subsoil,38.2612915,4.17119789
icr033664,Mega,4,6,Topsoil,38.26822662,4.2133522
icr033665,Mega,4,6,Subsoil,38.26822662,4.2133522
icr033819,Mega,12,5,Topsoil,38.3169632,4.21460199
icr033820,Mega,12,5,Subsoil,38.3169632,4.21460199
icr037453,Finnkolo,3,1,Topsoil,-5.534058333,11.32941667
icr037454,Finnkolo,3,1,Subsoil,-5.534058333,11.32941667
icr037531,Finnkolo,7,1,Topsoil,-5.518538333,11.32956833
icr037532,Finnkolo,7,1,Subsoil,-5.518538333,11.32956833
icr037574,Finnkolo,9,5,Topsoil,-5.486493333,11.28301667
icr037575,Finnkolo,9,5,Subsoil,-5.486493333,11.28301667
icr037927,Bana,10,1,Topsoil,10.26777667,5.25545667
icr037928,Bana,10,1,Subsoil,10.26777667,5.25545667
icr037986,Bana,13,1,Topsoil,10.28871167,5.233795
icr037987,Bana,13,1,Subsoil,10.28871167,5.233795
icr038147,Kutaber,3,8,Topsoil,39.57326889,11.30547237
icr038148,Kutaber,3,8,Subsoil,39.57326889,11.30547237
icr038218,Kutaber,7,6,Topsoil,39.59435272,11.30890274
icr038219,Kutaber,7,6,Subsoil,39.59435272,11.30890274
icr038227,Kutaber,8,1,Topsoil,39.59209442,11.32841492
icr038228,Kutaber,8,1,Subsoil,39.59209442,11.32841492
icr038242,Kutaber,8,10,Topsoil,39.59540176,11.33280659
icr038243,Kutaber,8,10,Subsoil,39.59540176,11.33280659
icr038299,Kutaber,12,1,Topsoil,39.61781311,11.33362484
icr038300,Kutaber,12,1,Subsoil,39.61781311,11.33362484
icr038302,Kutaber,12,6,Topsoil,39.61585617,11.33428001
icr038303,Kutaber,12,6,Subsoil,39.61585617,11.33428001
icr041679,Marafa,3,1,Topsoil,39.51435852,-2.62334704
icr041680,Marafa,3,1,Subsoil,39.51435852,-2.62334704
icr041789,Marafa,8,6,Topsoil,39.53932953,-2.59726691
icr041790,Marafa,8,6,Subsoil,39.53932953,-2.59726691
icr041898,Marafa,14,2,Topsoil,39.57897949,-2.64556789
icr041899,Marafa,14,2,Subsoil,39.57897949,-2.64556789
icr041992,Morijo,1,4,Topsoil,35.7769928,-1.75783205
icr041993,Morijo,1,4,Subsoil,35.7769928,-1.75783205
icr042024,Morijo,3,1,Topsoil,35.78072357,-1.70595801
icr042025,Morijo,3,1,Subsoil,35.78072357,-1.70595801
icr042074,Morijo,5,9,Topsoil,35.79964447,-1.75745797
icr042075,Morijo,5,9,Subsoil,35.79964447,-1.75745797
icr042082,Morijo,6,3,Topsoil,35.80267715,-1.72688997
icr042083,Morijo,6,3,Subsoil,35.80267715,-1.72688997
icr042108,Morijo,7,7,Topsoil,35.79957581,-1.70866501
icr042109,Morijo,7,7,Subsoil,35.79957581,-1.70866501
icr042113,Morijo,7,10,Topsoil,35.80049515,-1.70868194
icr042114,Morijo,7,10,Subsoil,35.80049515,-1.70868194
icr042117,Morijo,8,2,Topsoil,35.80121613,-1.67825699
icr042118,Morijo,8,2,Subsoil,35.80121613,-1.67825699
icr042141,Morijo,9,5,Topsoil,35.8225708,-1.75320995
icr042142,Morijo,9,5,Subsoil,35.8225708,-1.75320995
icr042191,Morijo,12,2,Topsoil,35.82104874,-1.68677199
icr042192,Morijo,12,2,Subsoil,35.82104874,-1.68677199
icr042204,Morijo,12,9,Topsoil,35.81818008,-1.68444002
icr042205,Morijo,12,9,Subsoil,35.81818008,-1.68444002
icr042239,Morijo,14,7,Topsoil,35.84237671,-1.73143196
icr042240,Morijo,14,7,Subsoil,35.84237671,-1.73143196
icr042241,Morijo,14,8,Topsoil,35.84387589,-1.733603
icr042242,Morijo,14,8,Subsoil,35.84387589,-1.733603
icr042245,Morijo,14,10,Topsoil,35.83790207,-1.730443
icr042246,Morijo,14,10,Subsoil,35.83790207,-1.730443
icr042265,Morijo,16,1,Topsoil,35.8539772,-1.68765497
icr042266,Morijo,16,1,Subsoil,35.8539772,-1.68765497
icr042267,Morijo,16,2,Topsoil,35.85451508,-1.68508506
icr042268,Morijo,16,2,Subsoil,35.85451508,-1.68508506
icr042280,Morijo,16,9,Topsoil,35.848,-1.68759
icr042281,Morijo,16,9,Subsoil,35.848,-1.68759
icr042282,Morijo,16,10,Topsoil,35.8489,-1.68592
icr042283,Morijo,16,10,Subsoil,35.8489,-1.68592
icr048664,Madadeni,13,2,Topsoil,30.0861,-27.6154
icr048665,Madadeni,13,2,Subsoil,30.0861,-27.6154
icr048837,Hopetown,8,2,Topsoil,23.933,-29.7781
icr048838,Hopetown,8,2,Subsoil,23.933,-29.7781
icr050214,Martinho,5,1,Topsoil,38.96290833,-16.17429833
icr050215,Martinho,5,1,Subsoil,38.96290833,-16.17429833
icr050354,Martinho,12,1,Topsoil,38.98612833,-16.11628667
icr050355,Martinho,12,1,Subsoil,38.98612833,-16.11628667
icr054175,Namasuba,1,7,Topsoil,32.26567841,0.49293199
icr054176,Namasuba,1,7,Subsoil,32.26567841,0.49293199
icr054181,Namasuba,1,10,Topsoil,32.26797867,0.49572
icr054182,Namasuba,1,10,Subsoil,32.26797867,0.49572
icr054188,Namasuba,2,4,Topsoil,32.26695633,0.51490003
icr054189,Namasuba,2,4,Subsoil,32.26695633,0.51490003
icr054190,Namasuba,2,5,Topsoil,32.27025223,0.51411301
icr054191,Namasuba,2,5,Subsoil,32.27025223,0.51411301
icr054201,Namasuba,3,1,Topsoil,32.26804352,0.53347302
icr054202,Namasuba,3,1,Subsoil,32.26804352,0.53347302
icr054234,Namasuba,4,9,Topsoil,32.26136017,0.55520201
icr054235,Namasuba,4,9,Subsoil,32.26136017,0.55520201
icr054256,Namasuba,5,10,Topsoil,32.28332138,0.49879301
icr054257,Namasuba,5,10,Subsoil,32.28332138,0.49879301
icr054269,Namasuba,6,7,Topsoil,32.28722,0.50801003
icr054270,Namasuba,6,7,Subsoil,32.28722,0.50801003
icr054285,Namasuba,7,8,Topsoil,32.28696823,0.54031301
icr054286,Namasuba,7,8,Subsoil,32.28696823,0.54031301
icr054287,Namasuba,7,9,Topsoil,32.29005432,0.53937298
icr054288,Namasuba,7,9,Subsoil,32.29005432,0.53937298
icr054301,Namasuba,8,5,Topsoil,32.29267502,0.565265
icr054302,Namasuba,8,5,Subsoil,32.29267502,0.565265
icr054307,Namasuba,8,8,Topsoil,32.28472519,0.56025702
icr054308,Namasuba,8,8,Subsoil,32.28472519,0.56025702
icr054309,Namasuba,8,9,Topsoil,32.28888702,0.55812198
icr054310,Namasuba,8,9,Subsoil,32.28888702,0.55812198
icr054315,Namasuba,9,2,Topsoil,32.30392838,0.49693999
icr054316,Namasuba,9,2,Subsoil,32.30392838,0.49693999
icr054322,Namasuba,9,7,Topsoil,32.3050766,0.49724999
icr054323,Namasuba,9,7,Subsoil,32.3050766,0.49724999
icr054363,Namasuba,12,3,Topsoil,32.30693817,0.55994499
icr054364,Namasuba,12,3,Subsoil,32.30693817,0.55994499
icr054372,Namasuba,12,10,Topsoil,32.30748367,0.55493498
icr054373,Namasuba,12,10,Subsoil,32.30748367,0.55493498
icr054387,Namasuba,14,1,Topsoil,32.33942032,0.51074201
icr054388,Namasuba,14,1,Subsoil,32.33942032,0.51074201
icr054395,Namasuba,14,5,Topsoil,32.33616638,0.50930202
icr054396,Namasuba,14,5,Subsoil,32.33616638,0.50930202
icr054402,Namasuba,14,9,Topsoil,32.33401489,0.51394999
icr054403,Namasuba,14,9,Subsoil,32.33401489,0.51394999
icr054410,Namasuba,15,5,Topsoil,32.33211136,0.52495998
icr054411,Namasuba,15,5,Subsoil,32.33211136,0.52495998
icr054415,Namasuba,15,9,Topsoil,32.33204269,0.52944702
icr054416,Namasuba,15,9,Subsoil,32.33204269,0.52944702
icr054426,Namasuba,16,5,Topsoil,32.33074188,0.56059003
icr054427,Namasuba,16,5,Subsoil,32.33074188,0.56059003
icr054433,Namasuba,16,9,Topsoil,32.32992935,0.56426501
icr054434,Namasuba,16,9,Subsoil,32.32992935,0.56426501
icr054445,Hoima,1,6,Topsoil,31.46744833,1.452473333
icr054446,Hoima,1,6,Subsoil,31.46744833,1.452473333
icr054449,Hoima,1,8,Topsoil,31.472245,1.457278333
icr054450,Hoima,1,8,Subsoil,31.472245,1.457278333
icr054523,Hoima,6,7,Topsoil,31.49498167,1.481888333
icr054524,Hoima,6,7,Subsoil,31.49498167,1.481888333
icr054556,Hoima,8,8,Topsoil,31.48545833,1.52404
icr054557,Hoima,8,8,Subsoil,31.48545833,1.52404
icr054574,Hoima,9,6,Topsoil,31.51262,1.461373333
icr054575,Hoima,9,6,Subsoil,31.51262,1.461373333
icr054643,Hoima,13,4,Topsoil,31.533415,1.45752
icr054644,Hoima,13,4,Subsoil,31.533415,1.45752
icr054709,Hoima,16,8,Topsoil,31.53856333,1.52303
icr054710,Hoima,16,8,Subsoil,31.53856333,1.52303
icr056500,Monga,16,1,Topsoil,28.32967,-16.04378333
icr056501,Monga,16,1,Subsoil,28.32967,-16.04378333
icr062136,Didy,1,2,Topsoil,48.6886,-18.3426
icr062137,Didy,1,2,Subsoil,48.6886,-18.3426
icr062141,Didy,1,5,Topsoil,48.6894,-18.3452
icr062142,Didy,1,5,Subsoil,48.6894,-18.3452
icr062147,Didy,1,8,Topsoil,48.6914,-18.3482
icr062148,Didy,1,8,Subsoil,48.6914,-18.3482
icr062151,Didy,1,10,Topsoil,48.6911,-18.3417
icr062152,Didy,1,10,Subsoil,48.6911,-18.3417
icr062157,Didy,2,2,Topsoil,48.6871,-18.3113
icr062158,Didy,2,2,Subsoil,48.6871,-18.3113
icr062159,Didy,2,3,Topsoil,48.6861,-18.3158
icr062160,Didy,2,3,Subsoil,48.6861,-18.3158
icr062165,Didy,2,6,Topsoil,48.689,-18.3145
icr062166,Didy,2,6,Subsoil,48.689,-18.3145
icr062167,Didy,2,7,Topsoil,48.6913,-18.3171
icr062168,Didy,2,7,Subsoil,48.6913,-18.3171
icr062169,Didy,2,8,Topsoil,48.6868,-18.3108
icr062170,Didy,2,8,Subsoil,48.6868,-18.3108
icr062179,Didy,3,3,Topsoil,48.6889,-18.3041
icr062180,Didy,3,3,Subsoil,48.6889,-18.3041
icr062183,Didy,3,5,Topsoil,48.6864,-18.301
icr062184,Didy,3,5,Subsoil,48.6864,-18.301
icr062187,Didy,3,7,Topsoil,48.6897,-18.3016
icr062188,Didy,3,7,Subsoil,48.6897,-18.3016
icr062195,Didy,4,1,Topsoil,48.6875,-18.2759
icr062196,Didy,4,1,Subsoil,48.6875,-18.2759
icr062199,Didy,4,3,Topsoil,48.6856,-18.2763
icr062200,Didy,4,3,Subsoil,48.6856,-18.2763
icr062201,Didy,4,4,Topsoil,48.6847,-18.2806
icr062202,Didy,4,4,Subsoil,48.6847,-18.2806
icr062203,Didy,4,5,Topsoil,48.688,-18.2833
icr062204,Didy,4,5,Subsoil,48.688,-18.2833
icr062209,Didy,4,8,Topsoil,48.6918,-18.2811
icr062210,Didy,4,8,Subsoil,48.6918,-18.2811
icr062211,Didy,4,9,Topsoil,48.6881,-18.2798
icr062212,Didy,4,9,Subsoil,48.6881,-18.2798
icr062213,Didy,4,10,Topsoil,48.6938,-18.2774
icr062214,Didy,4,10,Subsoil,48.6938,-18.2774
icr062219,Didy,5,3,Topsoil,48.7164,-18.3374
icr062220,Didy,5,3,Subsoil,48.7164,-18.3374
icr062227,Didy,5,7,Topsoil,48.7087,-18.3377
icr062228,Didy,5,7,Subsoil,48.7087,-18.3377
icr062237,Didy,6,2,Topsoil,48.7092,-18.3233
