"SSN","Site","Cluster","Plot","Depth","Longitude","Latitude","KG_p_name","KG_p_code","KG_f_name","KG_f_code","KG_p_group","KG_f_group","MAT","MAP","PET"
"icr005971","Chinyanghuku",3,4,"Topsoil",36.09030914,-6.887218,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",23.820833325386,551,2032
"icr005972","Chinyanghuku",3,4,"Subsoil",36.09030914,-6.887218,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",23.820833325386,551,2032
"icr005990","Chinyanghuku",4,8,"Topsoil",36.10004807,-6.86531687,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",23.2874999046326,545,1970
"icr005991","Chinyanghuku",4,8,"Subsoil",36.10004807,-6.86531687,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",23.2874999046326,545,1970
"icr006115","Chinyanghuku",11,8,"Topsoil",36.1339,-6.89424,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",22.9374998807907,563,1928
"icr006116","Chinyanghuku",11,8,"Subsoil",36.1339,-6.89424,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",22.9374998807907,563,1928
"icr006130","Chinyanghuku",12,8,"Topsoil",36.14284897,-6.85878706,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",23.0833332538605,555,1930
"icr006131","Chinyanghuku",12,8,"Subsoil",36.14284897,-6.85878706,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",23.0833332538605,555,1930
"icr006454","Pandambili",1,1,"Topsoil",36.44020081,-6.12600994,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",22.0541665156682,562,1817
"icr006455","Pandambili",1,1,"Subsoil",36.44020081,-6.12600994,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",22.0541665156682,562,1817
"icr006492","Pandambili",3,1,"Topsoil",36.4405,-6.06394,"Tropical, savannah","Aw","Arid, steppe, hot","BSh","Tropical (seasonal)","Arid",21.7666666110357,585,1787
"icr006493","Pandambili",3,1,"Subsoil",36.4405,-6.06394,"Tropical, savannah","Aw","Arid, steppe, hot","BSh","Tropical (seasonal)","Arid",21.7666666110357,585,1787
"icr006530","Pandambili",5,1,"Topsoil",36.4577,-6.11749,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",22.0250000953674,566,1823
"icr006531","Pandambili",5,1,"Subsoil",36.4577,-6.11749,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",22.0250000953674,566,1823
"icr006570","Pandambili",7,2,"Topsoil",36.46458817,-6.06997013,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",22.0833334128062,576,1797
"icr006571","Pandambili",7,2,"Subsoil",36.46458817,-6.06997013,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",22.0833334128062,576,1797
"icr006744","Pandambili",16,1,"Topsoil",36.5135,-6.05373,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",21.5208333333333,608,1752
"icr006745","Pandambili",16,1,"Subsoil",36.5135,-6.05373,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",21.5208333333333,608,1752
"icr020848","Kidatu",1,1,"Topsoil",37.26938248,-8.07403278,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",25.0749999682109,1423,1667
"icr020849","Kidatu",1,1,"Subsoil",37.26938248,-8.07403278,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",25.0749999682109,1423,1667
"icr020888","Kidatu",3,1,"Topsoil",37.27035141,-8.02105045,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",25.050000111262,1433,1673
"icr020889","Kidatu",3,1,"Subsoil",37.27035141,-8.02105045,"Tropical, savannah","Aw","Tropical, savannah","Aw","Tropical (seasonal)","Tropical (seasonal)",25.050000111262,1433,1673
