SSN,Depth,Country,data_14c
icr005934,Topsoil,Tanzania,FALSE
icr005940,Topsoil,Tanzania,FALSE
icr005949,Subsoil,Tanzania,FALSE
icr005950,Topsoil,Tanzania,FALSE
icr005952,Topsoil,Tanzania,FALSE
icr005955,Subsoil,Tanzania,FALSE
icr005958,Topsoil,Tanzania,FALSE
icr005962,Subsoil,Tanzania,FALSE
icr005964,Subsoil,Tanzania,FALSE
icr005971,Topsoil,Tanzania,TRUE
icr005972,Subsoil,Tanzania,TRUE
icr005973,Topsoil,Tanzania,FALSE
icr005974,Subsoil,Tanzania,FALSE
icr005975,Topsoil,Tanzania,FALSE
icr005977,Topsoil,Tanzania,FALSE
icr005980,Subsoil,Tanzania,FALSE
icr005981,Topsoil,Tanzania,FALSE
icr005987,Topsoil,Tanzania,FALSE
icr005988,Topsoil,Tanzania,FALSE
icr005989,Topsoil,Tanzania,FALSE
icr005990,Topsoil,Tanzania,TRUE
icr005991,Subsoil,Tanzania,TRUE
icr005994,Subsoil,Tanzania,FALSE
icr005997,Topsoil,Tanzania,FALSE
icr006000,Topsoil,Tanzania,FALSE
icr006004,Subsoil,Tanzania,FALSE
icr006010,Topsoil,Tanzania,FALSE
icr006014,Subsoil,Tanzania,FALSE
icr006021,Topsoil,Tanzania,FALSE
icr006024,Subsoil,Tanzania,FALSE
icr006026,Subsoil,Tanzania,FALSE
icr006034,Subsoil,Tanzania,FALSE
icr006041,Topsoil,Tanzania,FALSE
icr006044,Subsoil,Tanzania,FALSE
icr006058,Topsoil,Tanzania,FALSE
icr006061,Subsoil,Tanzania,FALSE
icr006063,Subsoil,Tanzania,FALSE
icr006064,Topsoil,Tanzania,FALSE
icr006073,Topsoil,Tanzania,FALSE
icr006079,Subsoil,Tanzania,FALSE
icr006081,Topsoil,Tanzania,FALSE
icr006082,Subsoil,Tanzania,FALSE
icr006096,Subsoil,Tanzania,FALSE
icr006099,Topsoil,Tanzania,FALSE
icr006110,Subsoil,Tanzania,FALSE
icr006114,Subsoil,Tanzania,FALSE
icr006115,Topsoil,Tanzania,TRUE
icr006116,Subsoil,Tanzania,TRUE
icr006117,Topsoil,Tanzania,FALSE
icr006118,Subsoil,Tanzania,FALSE
icr006127,Subsoil,Tanzania,FALSE
icr006130,Topsoil,Tanzania,TRUE
icr006131,Subsoil,Tanzania,TRUE
icr006133,Subsoil,Tanzania,FALSE
icr006139,Topsoil,Tanzania,FALSE
icr006145,Topsoil,Tanzania,FALSE
icr006162,Topsoil,Tanzania,FALSE
icr006166,Topsoil,Tanzania,FALSE
icr006172,Subsoil,Tanzania,FALSE
icr006174,Subsoil,Tanzania,FALSE
icr006175,Topsoil,Tanzania,FALSE
icr006176,Topsoil,Tanzania,FALSE
icr006185,Topsoil,Tanzania,FALSE
icr006192,Topsoil,Tanzania,FALSE
icr006454,Topsoil,Tanzania,TRUE
icr006455,Subsoil,Tanzania,TRUE
icr006474,Topsoil,Tanzania,FALSE
icr006475,Subsoil,Tanzania,FALSE
icr006492,Topsoil,Tanzania,TRUE
icr006493,Subsoil,Tanzania,TRUE
icr006510,Topsoil,Tanzania,FALSE
icr006530,Topsoil,Tanzania,TRUE
icr006531,Subsoil,Tanzania,TRUE
icr006551,Subsoil,Tanzania,FALSE
icr006570,Topsoil,Tanzania,TRUE
icr006571,Subsoil,Tanzania,TRUE
icr006586,Topsoil,Tanzania,FALSE
icr006599,Subsoil,Tanzania,FALSE
icr006626,Topsoil,Tanzania,FALSE
icr006627,Subsoil,Tanzania,FALSE
icr006684,Topsoil,Tanzania,FALSE
icr006695,Subsoil,Tanzania,FALSE
icr006704,Topsoil,Tanzania,FALSE
icr006705,Subsoil,Tanzania,FALSE
icr006725,Subsoil,Tanzania,FALSE
icr006727,Subsoil,Tanzania,FALSE
icr006745,Subsoil,Tanzania,TRUE
icr007851,Subsoil,Tanzania,FALSE
icr007987,Topsoil,Tanzania,FALSE
icr010019,Subsoil,Tanzania,FALSE
icr020848,Topsoil,Tanzania,TRUE
icr020850,Topsoil,Tanzania,FALSE
icr020851,Subsoil,Tanzania,FALSE
icr020852,Topsoil,Tanzania,FALSE
icr020860,Topsoil,Tanzania,FALSE
icr020861,Subsoil,Tanzania,FALSE
icr020864,Topsoil,Tanzania,FALSE
icr020865,Subsoil,Tanzania,FALSE
icr020867,Subsoil,Tanzania,FALSE
icr020872,Topsoil,Tanzania,FALSE
icr020873,Subsoil,Tanzania,FALSE
