SSN.XRPD,Cluster.XRPD,Plot.XRPD,Depth.XRPD,Site.XRPD,Latitude.XRPD,Longitude.XRPD
icr015752,1,1,Topsoil,Ajumako,5.37398667,-0.787106667
icr015753,1,1,Subsoil,Ajumako,5.37398667,-0.787106667
icr015772,2,1,Topsoil,Ajumako,5.39579,-0.780361667
icr015773,2,1,Subsoil,Ajumako,5.39579,-0.780361667
icr015792,3,1,Topsoil,Ajumako,5.41379333,-0.780368333
icr015793,3,1,Subsoil,Ajumako,5.41379333,-0.780368333
icr015812,4,1,Topsoil,Ajumako,5.44978,-0.771613333
icr015813,4,1,Subsoil,Ajumako,5.44978,-0.771613333
icr015832,5,2,Topsoil,Ajumako,5.371555,-0.762728333
icr015833,5,2,Subsoil,Ajumako,5.371555,-0.762728333
icr015852,6,1,Topsoil,Ajumako,5.39815167,-0.751176667
icr015853,6,1,Subsoil,Ajumako,5.39815167,-0.751176667
icr015872,7,2,Topsoil,Ajumako,5.42006,-0.75521
icr015873,7,2,Subsoil,Ajumako,5.42006,-0.75521
icr015892,8,1,Topsoil,Ajumako,5.44254833,-0.764775
icr015893,8,1,Subsoil,Ajumako,5.44254833,-0.764775
icr015912,9,1,Topsoil,Ajumako,5.377035,-0.726425
icr015913,9,1,Subsoil,Ajumako,5.377035,-0.726425
icr015932,10,1,Topsoil,Ajumako,5.39910833,-0.733821667
icr015933,10,1,Subsoil,Ajumako,5.39910833,-0.733821667
icr015952,11,1,Topsoil,Ajumako,5.41552833,-0.736546667
icr015953,11,1,Subsoil,Ajumako,5.41552833,-0.736546667
icr015972,12,1,Topsoil,Ajumako,5.434675,-0.728883333
icr015973,12,1,Subsoil,Ajumako,5.434675,-0.728883333
icr015992,13,1,Topsoil,Ajumako,5.36981833,-0.714001667
icr015993,13,1,Subsoil,Ajumako,5.36981833,-0.714001667
icr016012,14,1,Topsoil,Ajumako,5.39372667,-0.707133333
icr016013,14,1,Subsoil,Ajumako,5.39372667,-0.707133333
icr016032,15,1,Topsoil,Ajumako,5.42318167,-0.709083333
icr016033,15,1,Subsoil,Ajumako,5.42318167,-0.709083333
icr016052,16,1,Topsoil,Ajumako,5.44766667,-0.717421667
icr016053,16,1,Subsoil,Ajumako,5.44766667,-0.717421667
icr076347,1,2,Topsoil,Analavory,-19.021194,46.636952
icr076348,1,2,Subsoil,Analavory,-19.021194,46.636952
icr076364,2,1,Topsoil,Analavory,-19.006766,46.629129
icr076365,2,1,Subsoil,Analavory,-19.006766,46.629129
icr076384,3,1,Topsoil,Analavory,-18.973476,46.63606
icr076385,3,1,Subsoil,Analavory,-18.973476,46.63606
icr076404,4,1,Topsoil,Analavory,-18.953178,46.6373
icr076405,4,1,Subsoil,Analavory,-18.953178,46.6373
icr076424,5,1,Topsoil,Analavory,-19.024152,46.659441
icr076425,5,1,Subsoil,Analavory,-19.024152,46.659441
icr076444,6,1,Topsoil,Analavory,-19.005444,46.657214
icr076445,6,1,Subsoil,Analavory,-19.005444,46.657214
icr076464,7,1,Topsoil,Analavory,-18.977533,46.659112
icr076465,7,1,Subsoil,Analavory,-18.977533,46.659112
icr076484,8,1,Topsoil,Analavory,-18.958817,46.658112
icr076485,8,1,Subsoil,Analavory,-18.958817,46.658112
icr076502,9,1,Topsoil,Analavory,-19.018352,46.675688
icr076503,9,1,Subsoil,Analavory,-19.018352,46.675688
icr076522,10,1,Topsoil,Analavory,-19.002544,46.677495
icr076523,10,1,Subsoil,Analavory,-19.002544,46.677495
icr076541,11,1,Topsoil,Analavory,-18.980003,46.681078
icr076542,11,1,Subsoil,Analavory,-18.980003,46.681078
icr076561,12,1,Topsoil,Analavory,-18.953984,46.68258
icr076562,12,1,Subsoil,Analavory,-18.953984,46.68258
icr076581,13,1,Topsoil,Analavory,-19.025504,46.706172
icr076582,13,1,Subsoil,Analavory,-19.025504,46.706172
icr076601,14,1,Topsoil,Analavory,-19.007042,46.697128
icr076602,14,1,Subsoil,Analavory,-19.007042,46.697128
icr076621,15,1,Topsoil,Analavory,-18.978952,46.703312
icr076622,15,1,Subsoil,Analavory,-18.978952,46.703312
icr076640,16,1,Topsoil,Analavory,-18.951871,46.706503
icr076641,16,1,Subsoil,Analavory,-18.951871,46.706503
icr037755,1,5,Topsoil,Bana,5.232845,10.226835
icr037756,1,5,Subsoil,Bana,5.232845,10.226835
icr037767,2,1,Topsoil,Bana,5.26178333,10.22336667
icr037768,2,1,Subsoil,Bana,5.26178333,10.22336667
icr037787,3,1,Topsoil,Bana,5.28236667,10.22913667
icr037788,3,1,Subsoil,Bana,5.28236667,10.22913667
icr037807,4,1,Topsoil,Bana,5.30309333,10.22817
icr037808,4,1,Subsoil,Bana,5.30309333,10.22817
icr037843,5,9,Topsoil,Bana,5.238615,10.258085
icr037844,5,9,Subsoil,Bana,5.238615,10.258085
icr037851,6,3,Topsoil,Bana,5.253965,10.25103167
icr037852,6,3,Subsoil,Bana,5.253965,10.25103167
icr037869,7,2,Topsoil,Bana,5.27953833,10.242555
icr037870,7,2,Subsoil,Bana,5.27953833,10.242555
icr037901,8,8,Topsoil,Bana,5.30427333,10.249175
icr037902,8,8,Subsoil,Bana,5.30427333,10.249175
icr037907,9,1,Topsoil,Bana,5.23253833,10.27185333
icr037908,9,1,Subsoil,Bana,5.23253833,10.27185333
icr037927,10,1,Topsoil,Bana,5.25545667,10.26777667
icr037928,10,1,Subsoil,Bana,5.25545667,10.26777667
icr037947,11,2,Topsoil,Bana,5.28252333,10.27224833
icr037948,11,2,Subsoil,Bana,5.28252333,10.27224833
icr037969,12,3,Topsoil,Bana,5.29722333,10.26682167
icr037970,12,3,Subsoil,Bana,5.29722333,10.26682167
icr037986,13,1,Topsoil,Bana,5.233795,10.28871167
icr037987,13,1,Subsoil,Bana,5.233795,10.28871167
icr038016,14,8,Topsoil,Bana,5.25533,10.28552
icr038017,14,8,Subsoil,Bana,5.25533,10.28552
icr038034,15,5,Topsoil,Bana,5.28465667,10.28513333
icr038035,15,5,Subsoil,Bana,5.28465667,10.28513333
icr038056,16,7,Topsoil,Bana,5.30045833,10.293825
icr038057,16,7,Subsoil,Bana,5.30045833,10.293825
icr072948,1,2,Topsoil,Bimbe,-11.772835,15.87541167
icr072949,1,2,Subsoil,Bimbe,-11.772835,15.87541167
icr072968,2,1,Topsoil,Bimbe,-11.75044833,15.87774167
icr072969,2,1,Subsoil,Bimbe,-11.75044833,15.87774167
icr072988,3,1,Topsoil,Bimbe,-11.72324667,15.88526667
icr072989,3,1,Subsoil,Bimbe,-11.72324667,15.88526667
icr073008,4,1,Topsoil,Bimbe,-11.70413667,15.88675
icr073009,4,1,Subsoil,Bimbe,-11.70413667,15.88675
icr073028,5,1,Topsoil,Bimbe,-11.77340167,15.90902167
icr073029,5,1,Subsoil,Bimbe,-11.77340167,15.90902167
icr073048,6,1,Topsoil,Bimbe,-11.75164667,15.904305
icr073049,6,1,Subsoil,Bimbe,-11.75164667,15.904305
icr073068,7,1,Topsoil,Bimbe,-11.72861167,15.90537
icr073069,7,1,Subsoil,Bimbe,-11.72861167,15.90537
icr073088,8,1,Topsoil,Bimbe,-11.70184,15.905035
icr073089,8,1,Subsoil,Bimbe,-11.70184,15.905035
icr073128,10,1,Topsoil,Bimbe,-11.74299833,15.925165
icr073129,10,1,Subsoil,Bimbe,-11.74299833,15.925165
icr073148,11,1,Topsoil,Bimbe,-11.72815,15.92955167
icr073149,11,1,Subsoil,Bimbe,-11.72815,15.92955167
icr073168,12,1,Topsoil,Bimbe,-11.70322333,15.92522667
icr073169,12,1,Subsoil,Bimbe,-11.70322333,15.92522667
