"SSN","Country","Site","Region","Cluster","Plot","SiteID","Depth","Longitude","Latitude","Altitude","Date","Total_C","CORG","CINORG","pH","Clay_8um","Alox","Feox","LandCover","PlotCultMgd","GPP","KG_p_name","KG_p_code","KG_f_name","KG_f_code","KG_p_group","KG_f_group","MAT","MAP","PET","Delta14C","TurnoverTime","Zones","F14C","F14C_err","Delta14C_err","Delta13C","SSN.XRPD","Quartz","Erosion","Clay_1_1","Clay_2_1","Amorphous","Pedogenic_Oxides","Feldspars","Mox"
"icr005971","Tanzania","Chinyanghuku","East Africa",3,4,"Chinyanghuku_3_4","Topsoil",36.09030914,-6.887218,792,"04-12-09",1.04,0.9842,0.0558,8.29,30.104,0.121531642,0.290051213,"Cropland","yes",2.518881965,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",23.820833325386,551,2032,49.7,120,"SHZone12",1.0586,0.0021,2.1,-17.55,"icr005965",20.4237,"yes",2.5077,4.8227,3.5693,6.4246,44.1608,0.2665572485
"icr005972","Tanzania","Chinyanghuku","East Africa",3,4,"Chinyanghuku_3_4","Subsoil",36.09030914,-6.887218,792,"04-12-09",0.48,0.4467,0.0336,8.5,44.319,0.145693986,0.316162607,"Cropland","yes",2.518881965,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",23.820833325386,551,2032,-48.3,571,"SHZone12",0.9598,0.0024,2.4,-17.84,"icr005966",26.4686,"yes",2.7088,4.3516,4.0749,5.1848,43.0961,0.3037752895
"icr005990","Tanzania","Chinyanghuku","East Africa",4,8,"Chinyanghuku_4_8","Topsoil",36.10004807,-6.86531687,821,"10-12-09",1.123,1.123,0,7.15,25.829,0.103790135,0.071904826,"Other","no",2.518881965,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",23.2874999046326,545,1970,78.8,72,"SHZone12",1.088,0.002,2,-22.81,"icr005985",55.1344,"yes",0,6.0671,0,3.1864,31.6176,0.139742548
"icr005991","Tanzania","Chinyanghuku","East Africa",4,8,"Chinyanghuku_4_8","Subsoil",36.10004807,-6.86531687,821,"10-12-09",0.358,0.3577,0,7.03,22.203,0.071808679,0.066743074,"Other","no",2.518881965,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",23.2874999046326,545,1970,23.4,188,"SHZone12",1.0321,0.0031,3.1,-22.67,"icr005986",27.7351,"yes",8.7308,9.4939,2.5011,4.6818,28.605,0.105180216
"icr006115","Tanzania","Chinyanghuku","East Africa",11,8,"Chinyanghuku_11_8","Topsoil",36.1339,-6.89424,0,"02-09-10",0.729,0.7293,0,7.78,36.886,0.108745723,0.086323982,"Other","no",2.518881965,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",22.9374998807907,563,1928,36.4,151,"SHZone12",1.0453,0.0031,3.1,-21.9955,"icr006101",37.6474,"yes",4.8176,5.0438,2.2292,4.6725,32.461,0.151907714
"icr006116","Tanzania","Chinyanghuku","East Africa",11,8,"Chinyanghuku_11_8","Subsoil",36.1339,-6.89424,0,"02-09-10",0.44,0.4404,0,7.78,16.68,0.063857918,0.049269043,"Other","no",2.518881965,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",22.9374998807907,563,1928,27.5,175,"SHZone12",1.0363,0.0027,2.7,-24.32,"icr006102",24.4852,"yes",5.6645,6.0719,2.1404,7.6887,36.3542,0.0884924395
"icr006130","Tanzania","Chinyanghuku","East Africa",12,8,"Chinyanghuku_12_8","Topsoil",36.14284897,-6.85878706,838,"14-12-09",0.773,0.7726,0,6.45,30.564,0.094763115,0.088037269,"Other","no",2.518881965,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",23.0833332538605,555,1930,87.5,61,"SHZone12",1.0968,0.0019,1.9,-24.07,"icr006121",32.8464,"yes",5.829,2.6598,2.42,4.3519,42.2328,0.1387817495
"icr006131","Tanzania","Chinyanghuku","East Africa",12,8,"Chinyanghuku_12_8","Subsoil",36.14284897,-6.85878706,838,"14-12-09",0.3,0.3002,0,5.74,28.944,0.08748927,0.076305208,"Other","no",2.518881965,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",23.0833332538605,555,1930,-42.6,530,"SHZone12",0.9655,0.0028,2.8,-23.16,"icr006122",27.2592,"yes",7.8693,2.8532,0.9998,5.3027,44.5584,0.125641874
"icr006454","Tanzania","Pandambili","East Africa",1,1,"Pandambili_1_1","Topsoil",36.44020081,-6.12600994,1031,"01-03-10",0.951,0.9359,0.0147,7.85,49.756,0.210597371,0.08683478,"Cropland","yes",1.815515653,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",22.0541665156682,562,1817,-0.8,283,"SHZone12",1.0077,0.0022,2.2,-15.85,"icr006454",56.8665,"no",0,19.6733,1.0519,0,13.5275,0.254014761
"icr006455","Tanzania","Pandambili","East Africa",1,1,"Pandambili_1_1","Subsoil",36.44020081,-6.12600994,1031,"01-03-10",0.805,0.7046,0.1004,8.03,58.155,0.270368619,0.109567028,"Cropland","yes",1.815515653,"Arid, steppe, hot","BSh","Arid, steppe, hot","BSh","Arid","Arid",22.0541665156682,562,1817,-129.4,1301,"SHZone12",0.878,0.0019,1.9,-15.28,"icr006455",61.2265,"no",0,15.2974,0.7327,0,13.6102,0.325152133
