SSN,F14C,F14C_err ,Delta14C,Delta14C_err,Delta13C
icr042239,1.0904,0.002,81.2,2,-23.4895
icr076570,0.8296,0.0022,-177.3,2.2,-20.8385
icr076569,0.9917,0.0018,-16.7,1.8,-23.4175
icr062179,1.0841,0.0021,74.9,2.1,-27.0615
icr062259,1.0585,0.0018,49.6,1.8,-26.2875
icr062195,1.0745,0.0019,65.4,1.9,-26.4365
icr062281,1.04,0.0018,31.2,1.8,-26.4475
icr062157,1.064,0.002,55,2,-26.6315
icr062219,1.0769,0.0022,67.9,2.2,-26.1075
icr042240,1.055,0.0019,46.1,1.9,-22.1235
icr062237,1.0446,0.002,35.8,2,-26.0115
icr042241,1.0805,0.0019,71.4,1.9,-18.4085
icr033598,1.0426,0.002,33.8,2,-23.1965
icr062180,1.0339,0.0019,25.2,1.9,-26.0885
icr062260,0.979,0.0018,-29.3,1.8,-25.6945
icr062158,0.9871,0.0018,-21.2,1.8,-25.4745
icr062196,1.034,0.0019,25.3,1.9,-26.0195
icr062220,1.0033,0.0017,-5.2,1.7,-25.8805
icr062282,1.0105,0.0018,2,1.8,-25.4515
icr030268,1.0769,0.002,67.8,2,-16.6325
icr062238,0.9815,0.0021,-26.8,2.1,-25.5615
icr062136,1.0553,0.0021,46.4,2.1,-26.0865
icr033819,0.8998,0.0018,-107.8,1.8,-12.9565
icr033664,0.8944,0.0016,-113.1,1.6,-13.7695
icr042242,0.9502,0.0018,-57.8,1.8,-16.1115
icr033599,1.036,0.0018,27.2,1.8,-22.0435
icr033820,0.7539,0.0016,-252.4,1.6,-11.5175
icr020908,1.0816,0.002,72.5,2,-19.3515
icr021063,1.0998,0.0018,90.6,1.8,-18.2695
icr033592,1.0304,0.0018,21.7,1.8,-24.7275
icr020970,1.0997,0.002,90.4,2,-17.4855
icr033665,0.7652,0.0015,-241.3,1.5,-11.2815
icr030269,1.0469,0.0019,38.1,1.9,-14.1795
icr006115,1.0453,0.0031,36.4,3.1,-21.9955
icr024976,1.0751,0.0021,66.1,2.1,-21.4945
