SSN,F14C,F14C_err,Delta14C,Delta14C_err,Delta13C
icr042245,0.5539,0.0014,-450.8,1.4,-6.15
icr030323,1.0109,0.0019,2.4,1.9,-13.88
icr062151,1.0691,0.0022,60.1,2.2,-25.96
icr030330,1.0248,0.002,16.2,2,-11.99
icr042204,1.0729,0.0023,63.8,2.3,-20.85
icr042191,1.0735,0.002,64.4,2,-20.8
icr062141,1.0812,0.0022,72.1,2.2,-26.68
icr030324,1.0124,0.0019,3.9,1.9,-14.2
icr062147,1.0492,0.002,40.3,2,-26
icr062422,1.0515,0.0018,42.6,1.8,-26.5
icr042192,0.9783,0.0018,-29.9,1.8,-19.56
icr062421,1.0474,0.0021,38.5,2.1,-26.46
icr062148,0.9878,0.002,-20.5,2,-25.88
icr030331,0.9384,0.0017,-69.5,1.7,-12.47
icr062411,1.034,0.0019,25.3,1.9,-25.93
icr062417,1.0555,0.0022,46.6,2.2,-26.47
icr041992,0.9981,0.0019,-10.4,1.9,-13.79
icr062152,0.9692,0.002,-38.9,2,-25.46
icr042205,0.956,0.0019,-52.1,1.9,-18.38
icr062412,0.9659,0.0018,-42.3,1.8,-25.39
icr062142,0.994,0.0021,-14.4,2.1,-25.5
icr062418,0.9954,0.0019,-13,1.9,-26.09
icr041993,0.8637,0.0018,-143.6,1.8,-10.36
icr042024,1.0145,0.002,6,2,-11.9
icr042246,0.971,0.002,-37.2,2,-11.48
icr042074,1.0348,0.0019,26.1,1.9,-12.58
icr042025,0.9559,0.0018,-52.1,1.8,-11.1
icr042075,0.9829,0.002,-25.4,2,-11.82
