SSN,F14C,F14C_err ,Delta14C,Delta14C_err
icr033536,0.8349,0.005,-172.1,5
icr033420,0.7647,0.0049,-241.7,5
icr068150,0.8098,0.005,-197,5
icr068149,0.8937,0.0059,-113.8,5.9
icr068222,0.7844,0.0049,-222.3,4.9
icr068132,0.7504,0.0047,-255.9,4.7
icr033419,0.9826,0.0057,-25.7,5.7
icr033535,0.9005,0.0053,-107.1,5.3
icr068221,0.826,0.0051,-180.9,5.1
icr074732,0.9589,0.0056,-49.2,5.6
icr075757,0.9138,0.0054,-93.9,5.4
icr068131,0.8466,0.0051,-160.5,5.1
icr068339,0.921,0.0053,-86.8,5.3
icr072717,0.8364,0.0049,-170.7,4.9
icr050354,0.9385,0.0054,-69.4,5.4
icr056501,0.9423,0.0054,-65.7,5.4
icr068340,0.8839,0.0052,-123.6,5.2
icr037532,0.786,0.0048,-220.7,4.8
icr070263,0.8682,0.0052,-139.1,5.2
icr075677,0.9238,0.0056,-84,5.6
icr076363,0.9294,0.0054,-78.4,5.4
icr037575,0.9773,0.0056,-31,5.6
icr070371,0.9317,0.0054,-76.2,5.4
icr075697,0.8925,0.0055,-115,5.5
icr074731,0.9685,0.0058,-39.6,5.8
icr021104,1.0049,0.0056,-3.6,5.6
icr020849,0.9495,0.0056,-58.5,5.6
icr062294,1.0517,0.0061,42.8,6.1
icr062295,0.9565,0.0059,-51.6,5.9
