"sample_id","Quartz","Kaolinite","Goethite","K-feldspar","Plagioclase","Smectite (ML)","Organic matter","Halloysite","Mica (Tri)","Gibbsite","Ferrihydrite","Illite","Opal","Glass","Pyroxene","Ilmenite","Amphibole","Hematite","Maghemite","Vermiculite","Dickite","Muscovite","Mica (Di)","Magnetite","Calcite","Magnesite","Rutile","Smectite (Di)","Anatase","Olivine","Anhydrite","Apatite","Ankerite","Glauconite","Corundum","Palygorskite","Humic","Bassanite","Dolomite","Gypsum","Cristobalite","Siderite","Background"
"icr005965",20.4237,NA,5.8453,4.5553,39.6055,NA,3.1464,2.5077,4.1197,NA,3.5693,4.8227,NA,NA,NA,NA,2.2006,0.5793,NA,NA,NA,NA,2.6975,NA,2.5764,NA,NA,NA,NA,NA,0.9571,NA,2.2106,NA,NA,NA,NA,NA,NA,NA,0.182,NA,8e-04
"icr005966",26.4686,NA,4.7464,4.119,38.9771,NA,2.2263,2.7088,5.9744,NA,4.0749,4.3516,NA,NA,NA,NA,1.1201,0.4384,NA,NA,NA,NA,1.6915,NA,0.7149,NA,NA,NA,NA,NA,0.7489,NA,1.4282,NA,NA,NA,NA,NA,NA,NA,0.2102,NA,7e-04
"icr005985",55.1344,NA,3.1864,8.2098,23.4078,1.8702,1.3818,NA,1.3205,NA,NA,4.1969,NA,NA,NA,NA,1.2919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e-04
"icr005986",27.7351,4.7952,4.1813,6.7246,21.8804,9.4939,3.4202,3.9356,7.8843,NA,2.5011,NA,NA,NA,NA,NA,2.3404,0.5005,NA,NA,NA,NA,NA,NA,4.6071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e-04
"icr006101",37.6474,NA,4.2647,12.0982,20.3628,2.4961,3.7413,4.8176,3.794,NA,2.2292,2.5477,NA,NA,NA,NA,0.7736,0.4078,NA,NA,NA,NA,2.5681,NA,0.9342,NA,NA,NA,NA,NA,0.523,NA,0.5581,NA,NA,NA,NA,NA,NA,NA,0.236,NA,2e-04
"icr006102",24.4852,NA,6.124,10.8031,25.5511,2.8106,3.7197,5.6645,6.7205,NA,2.1404,3.2613,NA,NA,NA,NA,1.8212,1.1475,NA,NA,NA,NA,2.0465,0.4172,1.2127,NA,NA,NA,NA,NA,0.8003,NA,0.9652,NA,NA,NA,NA,NA,NA,NA,0.3083,NA,6e-04
"icr006121",32.8464,NA,3.8241,8.8731,33.3597,NA,2.9926,5.829,2.7032,NA,2.42,2.6598,NA,NA,NA,NA,0.9348,0.5278,NA,NA,NA,NA,1.729,NA,NA,NA,NA,NA,NA,NA,0.6255,NA,0.6744,NA,NA,NA,NA,NA,NA,NA,NA,NA,7e-04
"icr006122",27.2592,4.5137,4.6489,9.2236,35.3348,NA,3.0836,3.3556,5.4523,NA,0.9998,2.8532,NA,NA,NA,NA,1.0108,0.6538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5812,NA,0.7075,NA,NA,NA,NA,NA,NA,NA,0.3214,NA,6e-04
"icr006454",56.8665,NA,NA,7.8019,5.7256,7.067,4.6429,NA,1.4551,NA,1.0519,12.6063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7824,NA,NA,NA,NA,NA,NA,NA,NA,5e-04
"icr006455",61.2265,NA,NA,8.2253,5.3849,5.2632,2.6024,NA,2.2744,NA,0.7327,10.0342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6545,NA,NA,NA,NA,NA,NA,NA,NA,2.6014,NA,NA,NA,NA,NA,NA,NA,NA,5e-04
"icr006492",62.268,3.7457,3.8285,17.1505,9.8139,NA,NA,NA,2.8571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-04
"icr006493",78.6313,NA,NA,10.3226,6.2146,NA,2.1432,NA,2.688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e-04
"icr006530",49.4723,8.7215,4.9445,6.7117,1.9889,NA,2.6472,7.6492,5.2659,NA,2.6641,NA,NA,NA,NA,NA,NA,0.5904,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3572,0.4291,NA,0.5574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7e-04
"icr006531",97.3451,NA,NA,2.3088,NA,NA,NA,NA,0.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-04
"icr006570",88.5787,2.3913,NA,5.3423,1.0221,NA,0.765,NA,1.9003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e-04
"icr006571",94.0818,NA,NA,5.1901,NA,NA,NA,NA,0.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-04
"icr006744",72.1321,NA,1.8714,14.3404,4.786,NA,2.4983,NA,4.3717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-04
"icr006745",74.9965,3.7122,NA,13.8378,4.2415,NA,1.067,NA,2.1448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e-04
"icr020848",81.0494,2.3587,NA,5.7076,NA,NA,4.9679,NA,1.0151,NA,NA,NA,NA,4.9014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"icr020849",90.0549,NA,NA,3.8537,0.7215,NA,NA,NA,NA,NA,NA,NA,NA,5.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1e-04
"icr020888",76.9147,6.1629,NA,10.4234,2.4695,NA,4.0293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-04
"icr020889",70.8846,13.4637,2.9452,7.4522,1.4882,NA,1.9287,NA,1.6718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1e-04
"icr020908",51.7087,11.1298,5.231,25.4543,2.7716,NA,1.9412,1.4351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3e-04
"icr020909",50.5084,11.3397,5.9922,26.1557,1.4887,NA,NA,2.4722,1.6853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2e-04
"icr020970",37.8626,NA,3.358,46.4631,4.5852,NA,3.7635,3.7399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
