"SSN","Country","Site","Cluster","Plot","Longitude","Latitude","F14C","F14C_err","Delta14C","Delta14C_err","Delta13C","Zones","TurnoverTime"
"icr005971","Tanzania","Chinyanghuku",3,4,36.09030914,-6.887218,1.0586,0.0021,49.7,2.1,-17.55,"SHZone12",140
"icr005972","Tanzania","Chinyanghuku",3,4,36.09030914,-6.887218,0.9598,0.0024,-48.3,2.4,-17.84,"SHZone12",5256
"icr005990","Tanzania","Chinyanghuku",4,8,36.10004807,-6.86531687,1.088,0.002,78.8,2,-22.81,"SHZone12",77
"icr005991","Tanzania","Chinyanghuku",4,8,36.10004807,-6.86531687,1.0321,0.0031,23.4,3.1,-22.67,"SHZone12",269
"icr006115","Tanzania","Chinyanghuku",11,8,36.1339,-6.89424,1.0453,0.0031,36.4,3.1,-21.9955,"SHZone12",190
"icr006116","Tanzania","Chinyanghuku",11,8,36.1339,-6.89424,1.0363,0.0027,27.5,2.7,-24.32,"SHZone12",239
"icr006130","Tanzania","Chinyanghuku",12,8,36.14284897,-6.85878706,1.0968,0.0019,87.5,1.9,-24.07,"SHZone12",64
"icr006131","Tanzania","Chinyanghuku",12,8,36.14284897,-6.85878706,0.9655,0.0028,-42.6,2.8,-23.16,"SHZone12",4208
"icr006454","Tanzania","Pandambili",1,1,36.44020081,-6.12600994,1.0077,0.0022,-0.8,2.2,-15.85,"SHZone12",631
"icr006455","Tanzania","Pandambili",1,1,36.44020081,-6.12600994,0.878,0.0019,-129.4,1.9,-15.28,"SHZone12",6475
"icr006492","Tanzania","Pandambili",3,1,36.4405,-6.06394,1.0725,0.0021,63.5,2.1,-23.35,"SHZone12",104
"icr006493","Tanzania","Pandambili",3,1,36.4405,-6.06394,0.9799,0.0035,-28.4,3.5,-22.67,"SHZone12",2310
"icr006530","Tanzania","Pandambili",5,1,36.4577,-6.11749,0.9956,0.0023,-12.8,2.3,-18.59,"SHZone12",1100
"icr006531","Tanzania","Pandambili",5,1,36.4577,-6.11749,0.9094,0.0032,-98.3,3.2,-18,"SHZone12",6475
"icr006570","Tanzania","Pandambili",7,2,36.46458817,-6.06997013,1.0082,0.0031,-0.3,3.1,-16.55,"SHZone12",617
"icr006571","Tanzania","Pandambili",7,2,36.46458817,-6.06997013,0.9458,0.003,-62.2,3,-16.07,"SHZone12",6475
"icr006744","Tanzania","Pandambili",16,1,36.5135,-6.05373,1.0249,0.0031,16.2,3.1,-20.75,"SHZone12",335
"icr006745","Tanzania","Pandambili",16,1,36.5135,-6.05373,0.9399,0.0031,-68.1,3.1,-22.03,"SHZone12",6475
"icr020848","Tanzania","Kidatu",1,1,37.26938248,-8.07403278,1.0728,0.0031,63.8,3.1,-15.83,"SHZone12",104
"icr020848","Tanzania","Kidatu",1,1,37.26938248,-8.07403278,1.0728,0.0031,63.8,3.1,-15.83,"SHZone12",104
"icr020849","Tanzania","Kidatu",1,1,37.26938248,-8.07403278,0.9495,0.0056,-58.5,5.6,NA,"SHZone12",6475
"icr020888","Tanzania","Kidatu",3,1,37.27035141,-8.02105045,1.0546,0.0019,45.7,1.9,-14.53,"SHZone12",153
"icr020889","Tanzania","Kidatu",3,1,37.27035141,-8.02105045,0.9862,0.0025,-22.1,2.5,-15.64,"SHZone12",1725
"icr020908","Tanzania","Kidatu",4,1,37.27236938,-8.00080681,1.0816,0.002,72.5,2,-19.3515,"SHZone12",87
"icr020909","Tanzania","Kidatu",4,1,37.27236938,-8.00080681,0.9665,0.0027,-41.6,2.7,-18.73,"SHZone12",4043
"icr020970","Tanzania","Kidatu",7,3,37.29229736,-8.02381229,1.0997,0.002,90.4,2,-17.4855,"SHZone12",61
"icr020971","Tanzania","Kidatu",7,3,37.29229736,-8.02381229,1.0164,0.003,7.8,3,-18.72,"SHZone12",447
"icr021063","Tanzania","Kidatu",12,1,37.31461716,-8.00514507,1.0998,0.0018,90.6,1.8,-18.2695,"SHZone12",61
"icr021064","Tanzania","Kidatu",12,1,37.31461716,-8.00514507,1.0375,0.0028,28.7,2.8,-20.14,"SHZone12",232
"icr021103","Tanzania","Kidatu",14,1,37.33369827,-8.04930496,1.0579,0.0025,49,2.5,-15.75,"SHZone12",142
"icr021104","Tanzania","Kidatu",14,1,37.33369827,-8.04930496,1.0049,0.0056,-3.6,5.6,NA,"SHZone12",714
"icr024956","Tanzania","Itende",6,1,34.19247818,-6.91006517,1.0536,0.0025,44.7,2.5,-20.93,"SHZone12",156
"icr024957","Tanzania","Itende",6,1,34.19247818,-6.91006517,0.9678,0.0025,-40.3,2.5,-22.6,"SHZone12",3837
"icr024976","Tanzania","Itende",7,2,34.19307327,-6.87918282,1.0751,0.0021,66.1,2.1,-21.4945,"SHZone12",99
"icr024977","Tanzania","Itende",7,2,34.19307327,-6.87918282,1.0024,0.0026,-6.1,2.6,-21.78,"SHZone12",800
"icr024994","Tanzania","Itende",8,3,34.19452667,-6.859828,1.0223,0.0028,13.7,2.8,-21.64,"SHZone12",363
"icr024995","Tanzania","Itende",8,3,34.19452667,-6.859828,0.9677,0.0026,-40.5,2.6,-21.82,"SHZone12",3869
"icr030051","Ethiopia","Dambidolo",2,6,34.98833084,8.60195828,1.0519,0.0023,43,2.3,-14.59,"NHZone3",171
"icr030052","Ethiopia","Dambidolo",2,6,34.98833084,8.60195828,0.9793,0.0017,-28.9,1.7,-13.4,"NHZone3",2390
"icr030097","Ethiopia","Dambidolo",4,8,34.98268509,8.65556717,1.0134,0.0019,4.9,1.9,-14.78,"NHZone3",520
"icr030098","Ethiopia","Dambidolo",4,8,34.98268509,8.65556717,0.9074,0.0016,-100.3,1.6,-14.29,"NHZone3",6474
"icr030113","Ethiopia","Dambidolo",5,7,35.00011444,8.58142185,0.9923,0.0017,-16,1.7,-18.43,"NHZone3",1314
"icr030114","Ethiopia","Dambidolo",5,7,35.00011444,8.58142185,1.0617,0.0018,52.8,1.8,-19.38,"NHZone3",138
"icr030123","Ethiopia","Dambidolo",6,2,35.00059891,8.59928799,1.0528,0.0018,44,1.8,-14.89,"NHZone3",167
"icr030124","Ethiopia","Dambidolo",6,2,35.00059891,8.59928799,0.9942,0.0017,-14.2,1.7,-13.75,"NHZone3",1204
"icr030127","Ethiopia","Dambidolo",6,5,34.99979401,8.59832192,1.0211,0.0021,12.5,2.1,-15.49,"NHZone3",395
"icr030128","Ethiopia","Dambidolo",6,5,34.99979401,8.59832192,0.9665,0.0018,-41.6,1.8,-15.24,"NHZone3",4065
"icr030131","Ethiopia","Dambidolo",6,7,35.00479126,8.60511303,1.0352,0.0017,26.5,1.7,-14.43,"NHZone3",258
"icr030132","Ethiopia","Dambidolo",6,7,35.00479126,8.60511303,0.9448,0.002,-63.1,2,-13.5,"NHZone3",6474
"icr030133","Ethiopia","Dambidolo",6,8,34.99936295,8.6012516,1.0472,0.002,38.4,2,-17.21,"NHZone3",191
"icr030134","Ethiopia","Dambidolo",6,8,34.99936295,8.6012516,0.9989,0.0019,-9.5,1.9,-16.17,"NHZone3",964
"icr030137","Ethiopia","Dambidolo",6,10,34.99982834,8.60101509,1.0157,0.0033,7.1,3.3,-14.76,"NHZone3",478
"icr030138","Ethiopia","Dambidolo",6,10,34.99982834,8.60101509,0.9664,0.0025,-41.7,2.5,-13.81,"NHZone3",4080
"icr030145","Ethiopia","Dambidolo",7,2,35.00531006,8.62525272,0.9968,0.0033,-11.6,3.3,-12.51,"NHZone3",1064
"icr030146","Ethiopia","Dambidolo",7,2,35.00531006,8.62525272,0.8974,0.003,-110.2,3,-12.7,"NHZone3",6474
"icr030176","Ethiopia","Dambidolo",8,8,35.0014534,8.64603329,0.9868,0.0034,-21.5,3.4,-12.15,"NHZone3",1703
"icr030177","Ethiopia","Dambidolo",8,8,35.0014534,8.64603329,0.9316,0.003,-76.3,3,-12.99,"NHZone3",6474
"icr030177","Ethiopia","Dambidolo",8,8,35.0014534,8.64603329,0.9316,0.003,-76.3,3,-12.99,"NHZone3",6474
